x,y,value
Aliso Viejo,Commercial Grow,0
Aliso Viejo,Retail Dispensaries,0
Aliso Viejo,Other Businesses,0
Anaheim,Commercial Grow,0
Anaheim,Retail Dispensaries,0
Anaheim,Other Businesses,0
Brea,Commercial Grow,0
Brea,Retail Dispensaries,0
Brea,Other Businesses,0
Buena Park,Commercial Grow,0
Buena Park,Retail Dispensaries,0
Buena Park,Other Businesses,0
Costa Mesa,Commercial Grow,0
Costa Mesa,Retail Dispensaries,0
Costa Mesa,Other Businesses,1
Cypress,Commercial Grow,0
Cypress,Retail Dispensaries,0
Cypress,Other Businesses,0
Dana Point,Commercial Grow,0
Dana Point,Retail Dispensaries,0
Dana Point,Other Businesses,0
Fountain Valley,Commercial Grow,0
Fountain Valley,Retail Dispensaries,0
Fountain Valley,Other Businesses,0
Fullerton,Commercial Grow,0
Fullerton,Retail Dispensaries,0
Fullerton,Other Businesses,0
Garden Grove,Commercial Grow,0
Garden Grove,Retail Dispensaries,0
Garden Grove,Other Businesses,0
Huntington Beach,Commercial Grow,0
Huntington Beach,Retail Dispensaries,0
Huntington Beach,Other Businesses,0
Irvine,Commercial Grow,0
Irvine,Retail Dispensaries,0
Irvine,Other Businesses,0
La Habra,Commercial Grow,0
La Habra,Retail Dispensaries,0
La Habra,Other Businesses,0
La Palma,Commercial Grow,0
La Palma,Retail Dispensaries,0
La Palma,Other Businesses,0
Laguna Beach,Commercial Grow,0
Laguna Beach,Retail Dispensaries,0
Laguna Beach,Other Businesses,1
Laguna Hills,Commercial Grow,0
Laguna Hills,Retail Dispensaries,0
Laguna Hills,Other Businesses,0
Laguna Niguel,Commercial Grow,0
Laguna Niguel,Retail Dispensaries,0
Laguna Niguel,Other Businesses,0
